menus,categoria_raiz,subcategoria,producto,descripcion,precio,variantes_precio,recomendado,nuevo,num_imagenes,imagen_archivo,imagen_url,product_id
BRUNCH | LUNCH Y DINNER,CACEROLAS & PANINI,PANINI ITALIANO,PROSCIUTTO & PESTO,"Prosciutto, tomate fresco, rúgula, cebolla caramelizada, mayonesa pesto.",$36.900,,,,0,,,zfXBxPtqfsC0B2vH1R99
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA TRADIZIONALE,QUATTRO FORMAGGI & MILANESA,"Milanesa de pollo acompañada con pasta cremada en queso azul, Grana padano, parmesano, mozzarella y salsa blanca de la casa.",$38.900,,,,0,,,drJ7vBvqRfFC7EZyGEvU
BRUNCH | LUNCH Y DINNER,CACEROLAS & PANINI,PANINI ITALIANO,MILANESA DE POLLO,"Milanesa de pollo, tomate fresco, queso crema, cogollo europeo, aderezo cesar.",$34.900,,,,0,,,Cf2YNFEaTS5rEcRtwblX
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ESPECIALI,HONGOS & TRUFA,"Preparación especial de la casa cremada con trufa, champiñones, Grana padano y toques de pimienta negra.",$44.900,,,,1,1b371f67-fd90-4b98-b771-9730ee658d64.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/1b371f67-fd90-4b98-b771-9730ee658d64.webp,LA2MJ03CPlbTRfMupNmI
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ESPECIALI,FRUTTI DI MARE,"Frutos del mar en salsa pomodoro San Marzano, cremado con Grana padano y pasta artesanal de pimentón rostizado.",$48.900,,,,0,,,upkPh0s3ujRSBCjco16k
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ESPECIALI,CACIO E PEPE E GAMBERI,Cremada en Grana padano y pimienta molida con camarones sellados en aceite de oliva y vino blanco.,$42.900,,,,0,,,grAhM4Y3ZNRzv14gRlel
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ESPECIALI,DELLA CASA,"Camarones, champiñones y espárragos salteados en aceite de oliva y vino blanco, cremados en Grana padano y salsa blanca de la casa.",$46.900,,,,1,945efb53-cf01-41ad-b85b-ca537de16f5c.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/945efb53-cf01-41ad-b85b-ca537de16f5c.webp,7aHNJIyTJopetVPriphn
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ESPECIALI,GAMBERI ROSSI,"Camarones, aceite de oliva, ajo. perejil, tomate Cherry y vino blanco.",$50.900,,,sí,1,db51c247-b900-4b4b-87bf-2f7c05ef513d.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/db51c247-b900-4b4b-87bf-2f7c05ef513d.webp,aYGOJOM1jMAdYSQ5ieov
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ESPECIALI,RIGATONI ALL'AMATRICIANA DI PEPPERONI,"Pasta corta italiana, Rigatoni en salsa de tomate italiano confitado con un toque sutil de pepperoni y tocineta en su elaboración, finalizado con burrata de búfala.",$54.900,,,,1,128635bd-0f79-4326-b605-8558145953f5.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/128635bd-0f79-4326-b605-8558145953f5.webp,E7U4JlEsBnBZarBIIupV
BRUNCH | LUNCH Y DINNER | VINOS,IL BAR,D'AUTORE,GIN-LIMONCELLO,"Ginebra, Limoncello, Butterfly pea flower , Cordial de manzanas y peras.",$42.900,,,,0,,,TPIsH0EfJTFHCtfivY43
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,LIMONATA,LIMONA DE VINO,"TINTO, BLANCO Y ROSÉ.",$20.900,,,,0,,,g2gtpVQOWzzktfGBYz5I
BRUNCH | LUNCH Y DINNER | VINOS,IL BAR,D'AUTORE,DOLCE,"Ron, Puré De Mango, Crema De Coco y Hierbabuena.",$40.000,,,,0,,,fFxsVbZR7llsmV6JSPIN
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,LIMONATA,LIMONADA ITALIANA,(CON LICOR APEROL),$22.900,,,,0,,,fX5PocfW967Sl350e6On
BRUNCH | LUNCH Y DINNER | VINOS,IL BAR,D'AUTORE,AMORE MÍO,"Ginebra, triple sec, hierbabuena, syrup de almendras y coco, y macerado de cerezas.",$44.000,,,,0,,,LexF9qCEX7Z38c15Noxn
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,LIMONATA,PIÑA & ALBAHACA,,$11.900,,,,0,,,xXs7tculcj7C6QZAHdjA
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,LIMONATA,COCO,,$11.900,,,,0,,,4hDhUlI37By2p6FAR2zc
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,LIMONATA,HIERBABUENA,,$10.900,,,,0,,,warnOMOXbEgmXpN8voh3
BRUNCH | LUNCH Y DINNER,DESAYUNOS CLÁSICOS,DESAYUNO TOSCANA,DESAYUNO TOSCANA,"TIPO DE HUEVO: Cacerola- Pericos- Revueltos. ACOMPAÑANTE: Arepa o Pan artesanal de masa madre. BEBIDA CALIENTE: Latte, Chocolate o Café. PANADERIA: Pandeyuca o Pandebono.",$22.900,Desayuno Toscana: $22.900 | Con huevos rancheros: $24.900,,,0,,,6Bg3dW3NwjTVR82s6mff
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,LIMONATA,NATURAL,,$8.900,,,,0,,,FW1tmb8LXDv2Rt8RiK0e
BRUNCH | LUNCH Y DINNER,PARRILLA,CORTES TRADICIONALES,PECHUGA DE LA CASA,filete de pechuga de pollo a la parilla.,$40.900,,,,0,,,GM7wEYZ9BuJTTwhztLYj
BRUNCH | LUNCH Y DINNER | VINOS,VINOS,VINOS POR COPA,"COPA (TINTO, BLANCO, ROSÉ)",,$22.900,,,,0,,,cogca3ogAzSeZhbg1XCr
BRUNCH | LUNCH Y DINNER,PARRILLA,CORTES TRADICIONALES,CHURRASCO,"400 gr de Filete de lomo ancho de res asado a la parrilla, caracterizado por su capa de grasa en los costados que potencia su sabor y presentación.",$57.900,,,,0,,,DWeGRwB8gGdLvHByIYG0
BRUNCH | LUNCH Y DINNER | VINOS,VINOS,VINOS POR COPA,"PICCINI MEMORO (TINTO, BLANCO, ROSÉ",,$24.900,,,,0,,,Lvkob4SdquXG9z7zLkFD
BRUNCH | LUNCH Y DINNER,DESAYUNOS ESPECIALES,TOSTADAS,CAPRESE,"Tostada de focaccia, queso crema de pesto, Mozzarella de búfala, tomate Cherry confitado, rúgula y Grana Padano.",$29.900,,,,0,,,UPwRyo0qqfiWqT5rdr8T
BRUNCH | LUNCH Y DINNER,DESAYUNOS ESPECIALES,TOSTADAS,PROSCIUTTO E MOZZARELLA DI BUFALA,"Focaccia de la casa, prosciutto, queso crema de pesto, mozzarella de búfala, tomate Cherry confitado, rúgula y Grana Padano.",$38.900,,,,0,,,0v0WiqFjiwthzuD17HqM
BRUNCH | LUNCH Y DINNER,PARRILLA,CORTES TRADICIONALES,PUNTA DE ANCA,"400 gr de corte del cuarto trasero de la res, con recubrimiento externo de grasa, de textura firme y jugosa.",$59.900,,,,0,,,BVpys0AMGatlengyiVcC
BRUNCH | LUNCH Y DINNER | VINOS,VINOS,VINOS POR COPA,TINTO DE VERANO,,$24.900,,,,0,,,ByY7wwjHiJrLYFMMmzQM
BRUNCH | LUNCH Y DINNER,PASTICCERIA,GALLETERÍA,ALFAJORES,Colección especial de alfajores de la casa.,$9.200,Dulce leche & coco: $9.200 | Limone: $6.900 | Arequipe & Avellanas: $6.900,,,0,,,feYGPiocmxRu4ve4Ysnm
BRUNCH | LUNCH Y DINNER | VINOS,VINOS,VINOS POR COPA,BLANCO DE VERANO,,$26.900,,,,0,,,B8tns7de1FdkNLBNUPfh
BRUNCH | LUNCH Y DINNER,PASTICCERIA,GALLETERÍA,MACARONS,Selección de sabores de temporada Imagen de referencia.,$7.500,Citrón: $7.500 | Arándanos: $7.500,,,1,d523590e-e632-4db6-afb8-cc899a0b53ae.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/d523590e-e632-4db6-afb8-cc899a0b53ae.webp,SzMuG8B4pno8VUhuh3ZD
BRUNCH | LUNCH Y DINNER,PASTICCERIA,GALLETERÍA,BISCOTTI DELLA CASA,Premium cookies.,$13.900,Pistacchio: $13.900 | Lemon pie & merengue: $9.900 | Cioccolato: $9.900 | Red velvet: $9.900,,,1,40198199-b3a9-4783-91a6-0c49e98ebe54.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/40198199-b3a9-4783-91a6-0c49e98ebe54.webp,KUaEVp4D7iWrjryQPuHg
BRUNCH | LUNCH Y DINNER,PARRILLA,CORTES TRADICIONALES,BABY BEEF,"400 gr de corte magro de solomito de res a la parrilla, de inigualable terneza.",$60.900,,,,0,,,bnpWX34Is5PXm2L2hvlW
BRUNCH | LUNCH Y DINNER | VINOS,VINOS,VINOS POR COPA,VINO CALIENTE,,$24.900,,,,0,,,gtuV3iOlX4tfxCWRSMYG
BRUNCH | LUNCH Y DINNER | VINOS,VINOS,VINOS POR COPA,SANGRÍA,,$26.900,,,,0,,,U7ySLiBl7ZTmw9WMFv0X
BRUNCH | LUNCH Y DINNER,DESAYUNOS ESPECIALES,TOSTADAS,TRUFADA,"Pan Italiano, huevos cremados en Grana Padano, queso crema trufado y toques de cebollín.",$24.900,,,,0,,,vx7CXYfQmQNnU1FXLv4L
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ARTIGIANALE,RAVIOLI TARTUFO E FUNGI,"Pasta rellena de lomito de res, cremada en salsa trufada especial de la casa, finalizada con mozzarella y grana panado al horno.",$48.900,,,,0,,,0R0x5k3HUWT5WdKLbun9
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ARTIGIANALE,RAVIOLI RICOTTA & ESPINACA,Pasta rellena en salsa pomodoro San Marzano terminada con queso mozzarella y Grana padano al horno.,$44.900,,,,0,,,fnGWil9BsYbujFnTTBdS
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ARTIGIANALE,RAVIOLI DI SALMONE,"Pasta artesanal rellena de salmón, cremada a la Toscana con salsa pomodoro, espinacas, queso azul, y Grana padano, finalizada con camarones.",$50.900,,,,1,96448016-2595-47ef-8414-6d3988ce36a8.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/96448016-2595-47ef-8414-6d3988ce36a8.webp,wAK5UuHuMlC7kQZfKtW1
BRUNCH | LUNCH Y DINNER,RISOTTOS & PASTAS,PASTA ARTIGIANALE,LASAGNA AL FORNO,"Receta clásica con pasta fresca de la casa, base bechamel y ragú de lomito en salsa pomodoro, finalizada con mozzarella y Grana Padano al horno.",$44.900,,,,0,,,WPcSH23npXTdsN4L9ITQ
BRUNCH | LUNCH Y DINNER,ENTRADAS,,ARANCINI TARTUFO E FUNGHI,croquetas de risotto trufado con centro de mozzarella.,$34.900,,,,0,,,R5pvzlRWSxHs8Zp8heEX
BRUNCH | LUNCH Y DINNER,ENTRADAS,,GAMBERI ALL'AGLIO,"Camarones cremados con mantequilla de ajo, pimentón rostizado, perejil y ligeros toques de limón. Servidos con tostones de pan de masa madre",$36.900,,,,0,,,V6HnBiumvcJHHKMmzjs5
BRUNCH | LUNCH Y DINNER,ENTRADAS,,CARPACCIO DE LOMO,"Finas lonjas de solomito de res rebozado en pimienta molida, rúgula fresca, crocante de alcaparras, queso grana padano, reducción balsámica y aderezo cesar.",$40.900,,,,1,7ae31559-8c53-4cf5-b5ef-bddfb47a3387.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/7ae31559-8c53-4cf5-b5ef-bddfb47a3387.webp,hzEqFexNpV3EaconTf1T
BRUNCH | LUNCH Y DINNER,ENTRADAS,,PAPAS TRUFADAS DELLA CASA,"Papas fritas barnizadas con mantequilla de trufa, queso Grana Padano y cebollín.",$39.900,,,,1,620060dc-710e-4668-8d14-21925d292c61.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/620060dc-710e-4668-8d14-21925d292c61.webp,rw4Hjs8XDaeffBzpaN9q
BRUNCH | LUNCH Y DINNER,ENTRADAS,,ALBÓNDIGAS ALLA TOSCANA,"Albóndigas cremadas en Grana padano, queso azul, espinacas y pomodoro. servidas con pan de masa madre.",$48.900,,,,0,,,CTvjeokZPJQCu1dzx8Op
BRUNCH | LUNCH Y DINNER,ENTRADAS,,PULPO DELLA CASA,Tentáculos de pulpo al fuego acompañado con tomates Cherry confitado y espárrago y papa artesanal.,$64.900,,,,1,54b28445-b461-4322-9f43-85c127f15b7c.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/54b28445-b461-4322-9f43-85c127f15b7c.webp,5TCcWjEBYWp4bwvJ2I8c
BRUNCH | LUNCH Y DINNER,ENTRADAS,,BURRATA  PANISSE,"Burrata de búfala, peras confitadas, queso azul, hierbabuena, crocante de pistacho y frutos secos.",$49.900,,,,1,e2a1103c-5ba6-4d86-bc3f-c99338e97595.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/e2a1103c-5ba6-4d86-bc3f-c99338e97595.webp,4shRoI0iQIWlaNOd5DBI
BRUNCH | LUNCH Y DINNER,ENTRADAS,,DEDOS MOZZARELLA & TRUFA,Dedos mozzarella apanados acompañados con miel trufada.,$27.900,,,,0,,,OQq7b4W6eqaUgA0PINRZ
BRUNCH | LUNCH Y DINNER,DESAYUNOS ESPECIALES,PANINI,ITALIANISSIMO,"Pan de la casa, Salami, pepperoni, mortadela italiana, queso crema de pesto, tomate fresco y rúgula.",$28.900,,,,0,,,A6MalQK1kyVnFJag5lM8
BRUNCH | LUNCH Y DINNER,PARRILLA,CORTES CERTIFIED ANGUS BEEF,ASADO DE TIRA,"Corte con mayor marmoleo, suave y jugoso seleccionado de la mejor parte de la costilla de res.",$110.900,,,,0,,,HBWAJw3mO7OWCwgSr5fR
BRUNCH | LUNCH Y DINNER,PASTICCERIA,TARTALETAS/PIE,TARTALETA BLACKBERRY & VAINILLA CREAM,,$16.900,,,,1,d21a3749-5d03-4662-9d1c-55a5c7b8dbfc.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/d21a3749-5d03-4662-9d1c-55a5c7b8dbfc.webp,TfaKDYmJsYHPbiJqPz2d
BRUNCH | LUNCH Y DINNER | VINOS,VINOS,DELLA CASA,"PICCINI MEMORO ( TINTO, BLANCO, ROSÉ)",,$92.900,,,,0,,,lGswL1ELTD6oefx0FdTZ
BRUNCH | LUNCH Y DINNER,DESAYUNOS CLÁSICOS,TRADICIONALES,CALENTADO,Clásica preparación de arroz y fríjoles acompañado con arepa de maíz y proteína a elección.,$22.000,Huevos al gusto: $22.000 | Carne de res: $28.000,,,0,,,vz6wy3qtlTDBrDdvKB4x
BRUNCH | LUNCH Y DINNER | VINOS,IL BAR,SPRITZ DELLA CASA,APEROL SPRITZ,"Aperol, soda y vino espumoso.",$36.000,,,,0,,,yIdANzjGdLWvzodFizSU
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,CAPUCCINO/LATTE,TRADICIONAL,,$7.900,,,,0,,,yLCi6w58sZ1g463K67hA
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,JUGOS,JUGO DE MANDARINA,,$9.900,,,,0,,,OZQEYmzGxKazGgsaDckc
BRUNCH | LUNCH Y DINNER | VINOS,IL BAR,SPRITZ DELLA CASA,FRAGOLA SPRITZ,"Aperol, shrub de fresa, zumo de piña y Ginger beer.",$38.900,,,,0,,,P3nqCdUGSuWOPFUfurbV
BRUNCH | LUNCH Y DINNER,DESAYUNOS CLÁSICOS,TRADICIONALES,CALDO DE COSTILLA,Tradicional caldo de costilla de res.,$24.900,,,,0,,,UloyGFeThOxDx880Y36Q
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,CAPUCCINO/LATTE,VAINILLA,,$10.000,,,,0,,,cU5oVQ0e5hzYukOp5izE
BRUNCH | LUNCH Y DINNER,PASTICCERIA,TARTALETAS/PIE,TARTALETA LIMONE & PISTACCHIO,,$14.900,,,,1,ad894c70-4707-4c41-8e99-80cbf6e740f4.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/ad894c70-4707-4c41-8e99-80cbf6e740f4.webp,coGLpFIrjMUMKOY46ATf
BRUNCH | LUNCH Y DINNER,PARRILLA,CORTES CERTIFIED ANGUS BEEF,PICANHA,Perfecta punta de anca con terneza garantizada.,$120.900,,,,0,,,fKqcL4phBOba3k722uS1
BRUNCH | LUNCH Y DINNER,DESAYUNOS ESPECIALES,PANINI,MILANESA DE LA CASA,"Pan de la casa, Milanesa de pollo, aderezo césar, tomate fresco y rúgula.",$26.900,,,,0,,,6tvZHJoJeRFN1rIVrScU
BRUNCH | LUNCH Y DINNER,PASTICCERIA,TARTALETAS/PIE,APPLE PIE,,$17.900,,,sí,1,28fd6a5c-5308-4cf6-a8cb-67600f56fe8a.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/28fd6a5c-5308-4cf6-a8cb-67600f56fe8a.webp,Pjjc592ZfVHCa5oQsb8q
BRUNCH | LUNCH Y DINNER | VINOS,IL BAR,SPRITZ DELLA CASA,MANDARINA SPRITZ,"Tequila, Aperol, Cordial cítrico de mandarina herbal.",$42.900,,,,0,,,VIhp0zh61p3JL4DiIt0m
BRUNCH | LUNCH Y DINNER,PARRILLA,CORTES CERTIFIED ANGUS BEEF,NEW YORK,"Lomo angosto con un poco de grasa subcutánea que ayuda a aumentar su sabor y jugosidad, terneza garantizada.",$120.900,,,,0,,,eGRO5QlSXZHOQwdUTvya
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,CAPUCCINO/LATTE,CARAMELO,,$10.000,,,,0,,,fGwX4z9CO8OqUnHKefhG
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,JUGOS,MANGO-MARACUYÁ,,$9.900,Agua: $9.900 | Leche: $10.900,,,0,,,y0wxqxuHGBfr9bNb34eL
BRUNCH | LUNCH Y DINNER | VINOS,IL BAR,SPRITZ DELLA CASA,FIERO SPRITZ,"Martini fiero, crema de cassis, soda, zumo de mandarina y naranja.",$38.900,,,,0,,,704TIqoxECzFd1XVQjCO
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,CAPUCCINO/LATTE,MOCACCINO,,$10.000,Sin Licor: $10.000 | Con Licor: $16.000,,,0,,,spSgQMbBApwlOdjy87El
BRUNCH | LUNCH Y DINNER | VINOS,BEBIDAS,JUGOS,FRESA,,$9.900,Agua: $9.900 | Leche: $10.900,,,0,,,xQC667NHdUom9FDmzn2f
BRUNCH | LUNCH Y DINNER,SOPAS,,MINESTRONE,Sopa clásica Italiana elaborada con vegetales de temporada.,$18.900,,,,0,,,2aMiArOgilSSrCLm8Tnb
BRUNCH | LUNCH Y DINNER,SOPAS,,CREMA DI POMODORO,"Crema artesanal de la casa a base de tomate San Marzano, con un toque ligero de parmesano.",$20.900,,,,0,,,ifDqMFpsgyjABoVUziWF
BRUNCH | LUNCH Y DINNER,SOPAS,,ZUPPA DI PESCATORE,Sopa artesanal de la casa a base de tomate San Marzano y una fina selección de frutos del mar.,$38.900,,,sí,1,34a2199f-6fc9-42cb-b229-4127dbc038a4.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/34a2199f-6fc9-42cb-b229-4127dbc038a4.webp,lSdEdp8xeZ7I5lgBnzlm
BRUNCH | LUNCH Y DINNER,ENSALADAS,,DELLA CASA,"Cogollo europeo, filete de pechuga al fuego, peras caramelizadas, queso azul, reducción de durazno, crocante de pistachos y frutos secos.",$46.900,,,,0,,,Q7Zzdzg7FcQz6vz89f0g
BRUNCH | LUNCH Y DINNER,ENSALADAS,,CÉSAR,"Cogollo europeo, filete de pechuga al fuego, crotones de pan baguette, tocineta, queso grana Padano y aderezo césar de la casa.",$45.900,,,,0,,,NaU1N8FsGv1YmbZaTX57
BRUNCH | LUNCH Y DINNER,ENSALADAS,,DE SOLOMITO,"Cogollo europeo, solomo de res al fuego, tomate Cherry, champiñones, espárragos, Grana padano y aderezo de la casa.",$59.900,,,,0,,,P53pvjzVldAoWL52CSn0
BRUNCH | LUNCH Y DINNER,ENSALADAS,,INSALATA DI SALMONE,"Cogollo europeo, filete de salmón, duraznos asados, espárragos, champiñones, tomate Cherry, Grana padano y aderezo dulce de la casa.",$64.900,,,,1,9fa50c03-e649-45a7-b156-89da0eac91d5.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/9fa50c03-e649-45a7-b156-89da0eac91d5.webp,2B987OwlXOcKBI8sH5ML
BRUNCH | LUNCH Y DINNER,POLLOS & PESCADOS,,MILANESA ALLA PARMIGIANA,"Corte fino de milanesa de pollo rebozado en parmesano al estilo italiano, acompañado con salsa pomodoro, ensalada cesar y papa de la casa.",$44.900,,,,1,df49ee4d-2888-49f8-beac-b74fb874a3ae.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/df49ee4d-2888-49f8-beac-b74fb874a3ae.webp,nxuKGWLx7UiKrErcXk3Y
BRUNCH | LUNCH Y DINNER,POLLOS & PESCADOS,,SALMONE ALLA TOSCANA,"Filete de salmón al fuego napado con pomodoro, espinacas, queso azul, Grana padano. Servido con papas de la casa.",$59.900,,,,1,08d20a4e-9048-4cde-9a2d-e5f107a07a76.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/08d20a4e-9048-4cde-9a2d-e5f107a07a76.webp,0NMQnEOky52J7xJUCJWX
BRUNCH | LUNCH Y DINNER,POLLOS & PESCADOS,,SALMÓN A LAS FINAS HIERBAS,Filete de salmón sellado en mantequilla de finas hierbas sobre mézclum de vegetales de temporada salteados en aceite de oliva.,$56.900,,,,1,4e663ac6-f2bb-4ffd-b56b-35e412503ccd.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/4e663ac6-f2bb-4ffd-b56b-35e412503ccd.webp,BriD74kLKp5YxuWOX6f9
BRUNCH | LUNCH Y DINNER,POLLOS & PESCADOS,,SALMONE DELLA CASA,"Filete de salmón sellado al fuego lento, servido con risotto cremado con mantequilla, preparación especial de pesto de la casa y Grana Padano.",$64.900,,,,1,63dcda32-5ffb-4273-9c05-ddc630ebb0d9.webp,https://dvzwo3mu4ucsq.cloudfront.net/images/restaurants/toscana/product/63dcda32-5ffb-4273-9c05-ddc630ebb0d9.webp,K5xOvVNqbnmYbo3XU35i
BRUNCH | LUNCH Y DINNER,CACEROLAS & PANINI,,POLLO & SETAS,"Pechuga de pollo en trozos cremada con salsa especial de la casa de champiñones, finalizado con mozzarella y Grana padano al horno.",$36.900,,,,0,,,3QlBxW0di8mNyUcf6D2a
BRUNCH | LUNCH Y DINNER,CACEROLAS & PANINI,,DI MARE,"Selección especial de frutos del mar (Calamares, almejas y camarones) cremados con Grana Padano y láminas de champiñones, finalizados con mozzarella al horno.",$45.900,,,,0,,,5gvjIKpePSk9j8WlHG8b
BRUNCH | LUNCH Y DINNER,CACEROLAS & PANINI,,DE SOLOMITO NAPOLITANO,"Cortes finos de solomito napados con salsa pomodoro, tomates frescos y cebollas, finalizados con mozzarella y albahaca.",$40.900,,,,0,,,lusDz1I2jjtWZ8O8bUvv
BRUNCH | LUNCH Y DINNER,PIZZAS,,PROSCIUTTO DI PARMA,"Pomodoro, Mozzarella, Jamón de pierna, Rúgula y Oliva.",$58.900,,,,0,,,407QrV3DCzA2AfwQXRng
